filename,entropy,npcr,uaci,correlation_h,correlation_v,correlation_d,correlation_mean
synthetic_030.png,7.997353969477315,99.62921142578125,33.56045,-0.022256285,-0.014701018,0.01660607,-0.006783744
synthetic_031.png,7.997353969477315,99.62921142578125,33.56045,0.00037749592,0.0055420063,-0.022015987,-0.0053654946
synthetic_032.png,7.997353969477315,99.62921142578125,33.56045,0.03346449,-0.012390149,0.03763282,0.019569054
synthetic_033.png,7.997353969477315,99.62921142578125,33.56045,-0.016524758,0.044515155,-0.020604502,0.002461965
synthetic_034.png,7.997353969477315,99.62921142578125,33.56045,-0.005654037,-0.006437563,0.05283088,0.01357976
synthetic_035.png,7.997353969477315,99.62921142578125,33.56045,0.031631414,0.017785314,-0.0005927541,0.016274659
synthetic_036.png,7.997353969477315,99.62921142578125,33.56045,-0.0036285562,0.024968635,-0.0023654876,0.0063248635
synthetic_037.png,7.997353969477315,99.62921142578125,33.56045,0.0021846779,0.0034304454,0.023637166,0.009750764
synthetic_038.png,7.997353969477315,99.62921142578125,33.56045,0.0062892246,0.025151512,0.008480522,0.013307086
synthetic_039.png,7.997353969477315,99.62921142578125,33.56045,0.007303333,0.019767841,0.0083354,0.011802192
synthetic_040.png,7.997353969477315,99.62921142578125,33.56045,0.011118456,-0.0006627089,-0.01779586,-0.0024467045
synthetic_041.png,7.997353969477315,99.62921142578125,33.56045,-0.0004564422,0.022235883,0.022968639,0.014916026
synthetic_042.png,7.997353969477315,99.62921142578125,33.56045,0.010053426,-0.020372912,-0.036444124,-0.01558787
synthetic_043.png,7.997353969477315,99.62921142578125,33.56045,-0.025854884,0.00086345046,-0.02180809,-0.015599842
synthetic_044.png,7.997353969477315,99.62921142578125,33.56045,0.01235273,0.008746792,0.0069424114,0.009347311
synthetic_045.png,7.997353969477315,99.62921142578125,33.56045,-0.01893166,-0.0019114999,-0.004973953,-0.008605705
synthetic_046.png,7.997353969477315,99.62921142578125,33.56045,0.029016854,-0.003936588,-0.048744313,-0.007888015
synthetic_047.png,7.997353969477315,99.62921142578125,33.56045,-0.00034515298,-0.023548283,0.011721544,-0.0040572975
synthetic_048.png,7.997353969477315,99.62921142578125,33.56045,-0.018200293,-0.017371308,0.040601443,0.001676614
synthetic_049.png,7.997353969477315,99.62921142578125,33.56045,0.012922863,0.021665154,-0.032519158,0.0006896195
synthetic_050.png,7.997353969477315,99.62921142578125,33.56045,0.033527017,0.00742927,-0.029161038,0.00393175
synthetic_051.png,7.997353969477315,99.62921142578125,33.56045,-0.016562726,-0.018422944,-0.014292412,-0.016426027
synthetic_052.png,7.997353969477315,99.62921142578125,33.56045,-0.022638436,-0.030827723,0.02948489,-0.007993757
synthetic_053.png,7.997353969477315,99.62921142578125,33.56045,-0.019620847,-0.0029260048,-0.064475045,-0.029007299
synthetic_054.png,7.997353969477315,99.62921142578125,33.56045,-0.00030010432,0.014095771,-0.049549278,-0.0119178705
synthetic_055.png,7.997353969477315,99.62921142578125,33.56045,-0.0061070505,-0.04592531,-0.035807285,-0.029279882
synthetic_056.png,7.997353969477315,99.62921142578125,33.56045,0.017029094,-0.011098341,0.0028644868,0.0029317464
synthetic_057.png,7.997353969477315,99.62921142578125,33.56045,0.013739973,0.026777342,-0.01849227,0.0073416815
synthetic_058.png,7.997353969477315,99.62921142578125,33.56045,0.013291644,-0.03992581,-0.013522749,-0.013385639
synthetic_059.png,7.997353969477315,99.62921142578125,33.56045,-0.006244321,-0.0017732839,0.021182863,0.0043884194
synthetic_060.png,7.997353969477315,99.62921142578125,33.56045,0.00031361243,-0.0061560906,0.013442078,0.0025332
synthetic_061.png,7.997353969477315,99.62921142578125,33.56045,0.008772572,-0.041129526,-0.040793702,-0.024383552
synthetic_062.png,7.997353969477315,99.62921142578125,33.56045,-0.002943044,0.015584634,-0.006914972,0.0019088727
synthetic_063.png,7.997353969477315,99.62921142578125,33.56045,-0.012843369,0.042955823,0.016603362,0.01557194
synthetic_064.png,7.997353969477315,99.62921142578125,33.56045,-0.006202451,-0.0059161945,-0.008610644,-0.006909763
synthetic_065.png,7.997353969477315,99.62921142578125,33.56045,0.010098423,0.02102022,-0.02811872,0.0009999741
synthetic_066.png,7.997353969477315,99.62921142578125,33.56045,0.013866005,0.025993813,0.02081182,0.020223878
synthetic_067.png,7.997353969477315,99.62921142578125,33.56045,0.009897,0.011969898,0.020743754,0.014203551
synthetic_068.png,7.997353969477315,99.62921142578125,33.56045,0.038236056,0.023400111,-0.0095291855,0.017368993
synthetic_069.png,7.997353969477315,99.62921142578125,33.56045,-0.0073330337,0.018446248,0.019087726,0.01006698
synthetic_070.png,7.997353969477315,99.62921142578125,33.56045,0.005489136,-0.014792181,-0.019317007,-0.009540017
synthetic_071.png,7.997353969477315,99.62921142578125,33.56045,-0.009335091,-0.026555322,-0.012787055,-0.016225824
synthetic_072.png,7.997353969477315,99.62921142578125,33.56045,-0.032958366,0.015959572,0.012247472,-0.001583774
synthetic_073.png,7.997353969477315,99.62921142578125,33.56045,0.013037608,0.0100815,-0.0027039403,0.0068050553
synthetic_074.png,7.997353969477315,99.62921142578125,33.56045,-0.001668834,-0.02600038,0.038578115,0.0036363006
synthetic_075.png,7.997353969477315,99.62921142578125,33.56045,-0.007902827,0.04188378,0.0063245385,0.013435164
synthetic_076.png,7.997353969477315,99.62921142578125,33.56045,-0.018879505,-0.016456114,0.045006845,0.0032237421
synthetic_077.png,7.997353969477315,99.62921142578125,33.56045,0.031871136,-0.004773729,-0.0037165976,0.0077936035
synthetic_078.png,7.997353969477315,99.62921142578125,33.56045,-0.053589605,-0.051909328,0.017187243,-0.029437229
synthetic_079.png,7.997353969477315,99.62921142578125,33.56045,-0.022282314,-0.016934525,0.0065226853,-0.010898051
